USER           PID  PPID NAME                        ARGS                       
root             1     0 init                        init second_stage
root             2     0 [kthreadd]                  [kthreadd]
root             3     2 [pool_workqueue_release]    [pool_workqueue_release]
root             4     2 [kworker/R-kvfree_rcu_reclaim] [kworker/R-kvfree_rcu_reclaim]
root             5     2 [kworker/R-rcu_gp]          [kworker/R-rcu_gp]
root             6     2 [kworker/R-sync_wq]         [kworker/R-sync_wq]
root             7     2 [kworker/R-slub_flushwq]    [kworker/R-slub_flushwq]
root             8     2 [kworker/R-netns]           [kworker/R-netns]
root            14     2 [kworker/R-mm_percpu_wq]    [kworker/R-mm_percpu_wq]
root            15     2 [rcu_tasks_kthread]         [rcu_tasks_kthread]
root            16     2 [rcu_tasks_trace_kthread]   [rcu_tasks_trace_kthread]
root            17     2 [ksoftirqd/0]               [ksoftirqd/0]
root            18     2 [rcu_preempt]               [rcu_preempt]
root            19     2 [rcuog/0]                   [rcuog/0]
root            20     2 [rcuop/0]                   [rcuop/0]
root            21     2 [rcub/0]                    [rcub/0]
root            22     2 [rcu_exp_par_gp_kthread_worker/0] [rcu_exp_par_gp_kthread_worker/0]
root            23     2 [rcu_exp_gp_kthread_worker] [rcu_exp_gp_kthread_worker]
root            24     2 [migration/0]               [migration/0]
root            25     2 [idle_inject/0]             [idle_inject/0]
root            26     2 [cpuhp/0]                   [cpuhp/0]
root            27     2 [cpuhp/1]                   [cpuhp/1]
root            28     2 [idle_inject/1]             [idle_inject/1]
root            29     2 [migration/1]               [migration/1]
root            30     2 [ksoftirqd/1]               [ksoftirqd/1]
root            33     2 [rcuop/1]                   [rcuop/1]
root            34     2 [cpuhp/2]                   [cpuhp/2]
root            35     2 [idle_inject/2]             [idle_inject/2]
root            36     2 [migration/2]               [migration/2]
root            37     2 [ksoftirqd/2]               [ksoftirqd/2]
root            39     2 [kworker/2:0H-kverityd]     [kworker/2:0H-kverityd]
root            40     2 [rcuop/2]                   [rcuop/2]
root            41     2 [cpuhp/3]                   [cpuhp/3]
root            42     2 [idle_inject/3]             [idle_inject/3]
root            43     2 [migration/3]               [migration/3]
root            44     2 [ksoftirqd/3]               [ksoftirqd/3]
root            47     2 [rcuop/3]                   [rcuop/3]
root            48     2 [cpuhp/4]                   [cpuhp/4]
root            49     2 [idle_inject/4]             [idle_inject/4]
root            50     2 [migration/4]               [migration/4]
root            51     2 [ksoftirqd/4]               [ksoftirqd/4]
root            54     2 [rcuog/4]                   [rcuog/4]
root            55     2 [rcuop/4]                   [rcuop/4]
root            56     2 [cpuhp/5]                   [cpuhp/5]
root            57     2 [idle_inject/5]             [idle_inject/5]
root            58     2 [migration/5]               [migration/5]
root            59     2 [ksoftirqd/5]               [ksoftirqd/5]
root            62     2 [rcuop/5]                   [rcuop/5]
root            63     2 [cpuhp/6]                   [cpuhp/6]
root            64     2 [idle_inject/6]             [idle_inject/6]
root            65     2 [migration/6]               [migration/6]
root            66     2 [ksoftirqd/6]               [ksoftirqd/6]
root            69     2 [rcuop/6]                   [rcuop/6]
root            70     2 [cpuhp/7]                   [cpuhp/7]
root            71     2 [idle_inject/7]             [idle_inject/7]
root            72     2 [migration/7]               [migration/7]
root            73     2 [ksoftirqd/7]               [ksoftirqd/7]
root            76     2 [rcuop/7]                   [rcuop/7]
root            77     2 [kworker/R-inet_frag_wq]    [kworker/R-inet_frag_wq]
root            78     2 [kauditd]                   [kauditd]
root            79     2 [khungtaskd]                [khungtaskd]
root            80     2 [oom_reaper]                [oom_reaper]
root            81     2 [kworker/R-writeback]       [kworker/R-writeback]
root            82     2 [kcompactd0]                [kcompactd0]
root            83     2 [khugepaged]                [khugepaged]
root            84     2 [kworker/R-kblockd]         [kworker/R-kblockd]
root            85     2 [kworker/R-edac-poller]     [kworker/R-edac-poller]
root            86     2 [kworker/R-devfreq_wq]      [kworker/R-devfreq_wq]
root            87     2 [watchdogd]                 [watchdogd]
root            94     2 [kswapd0]                   [kswapd0]
root            96     2 [erofs_worker/0]            [erofs_worker/0]
root            97     2 [erofs_worker/1]            [erofs_worker/1]
root            98     2 [erofs_worker/2]            [erofs_worker/2]
root            99     2 [erofs_worker/3]            [erofs_worker/3]
root           100     2 [erofs_worker/4]            [erofs_worker/4]
root           101     2 [erofs_worker/5]            [erofs_worker/5]
root           102     2 [erofs_worker/6]            [erofs_worker/6]
root           103     2 [erofs_worker/7]            [erofs_worker/7]
root           105     2 [kworker/R-nvme-wq]         [kworker/R-nvme-wq]
root           106     2 [kworker/R-nvme-reset-wq]   [kworker/R-nvme-reset-wq]
root           107     2 [kworker/R-nvme-delete-wq]  [kworker/R-nvme-delete-wq]
root           108     2 [kworker/R-vfio-irqfd-cleanup] [kworker/R-vfio-irqfd-cleanup]
root           109     2 [kworker/R-uas]             [kworker/R-uas]
root           110     2 [kworker/R-dm_bufio_cache]  [kworker/R-dm_bufio_cache]
root           111     2 [hwrng]                     [hwrng]
root           112     2 [irq/15-gunyah_rm_tx]       [irq/15-gunyah_rm_tx]
root           113     2 [irq/16-gunyah_rm_rx]       [irq/16-gunyah_rm_rx]
root           115     2 [kworker/R-mld]             [kworker/R-mld]
root           116     2 [kworker/R-ipv6_addrconf]   [kworker/R-ipv6_addrconf]
root           117     2 [kworker/R-kstrp]           [kworker/R-kstrp]
root           132     2 [dmabuf-deferred-free-worker] [dmabuf-deferred-free-worker]
root           153     2 [halt_drain_rqs]            [halt_drain_rqs]
root           154     2 [kthread_nbia_walt]         [kthread_nbia_walt]
root           163     2 [core_ctl]                  [core_ctl]
root           164     2 [adci_thread]               [adci_thread]
root           165     2 [qcom,system-pool-refill-thread] [qcom,system-pool-refill-thread]
root           184     2 [qrtr_ns]                   [qrtr_ns]
root           187     2 [irq/29-c229000.tsens0]     [irq/29-c229000.tsens0]
root           188     2 [irq/30-c229000.tsens0]     [irq/30-c229000.tsens0]
root           189     2 [irq/33-c22a000.tsens1]     [irq/33-c22a000.tsens1]
root           190     2 [irq/34-c22a000.tsens1]     [irq/34-c22a000.tsens1]
root           191     2 [irq/35-c22b000.tsens2]     [irq/35-c22b000.tsens2]
root           192     2 [irq/36-c22b000.tsens2]     [irq/36-c22b000.tsens2]
root           193     2 [irq/37-c22c000.tsens3]     [irq/37-c22c000.tsens3]
root           194     2 [irq/38-c22c000.tsens3]     [irq/38-c22c000.tsens3]
root           195     2 [irq/39-c22d000.tsens4]     [irq/39-c22d000.tsens4]
root           196     2 [irq/40-c22d000.tsens4]     [irq/40-c22d000.tsens4]
root           197     2 [irq/41-c22e000.tsens5]     [irq/41-c22e000.tsens5]
root           198     2 [irq/42-c22e000.tsens5]     [irq/42-c22e000.tsens5]
root           199     2 [irq/43-c22f000.tsens6]     [irq/43-c22f000.tsens6]
root           200     2 [irq/44-c22f000.tsens6]     [irq/44-c22f000.tsens6]
root           209     2 [msm-watchdog]              [msm-watchdog]
root           210     2 [mem_buf_trusted_vm_rcvr]   [mem_buf_trusted_vm_rcvr]
root           211     2 [mem_buf_oem_vm_rcvr]       [mem_buf_oem_vm_rcvr]
root           212     2 [irq/46-qcom,qmp-tme]       [irq/46-qcom,qmp-tme]
root           239     2 [irq/81-arm-smmu-context-fault] [irq/81-arm-smmu-context-fault]
root           240     2 [scsi_eh_0]                 [scsi_eh_0]
root           241     2 [kworker/R-scsi_tmf_0]      [kworker/R-scsi_tmf_0]
root           242     2 [irq/82-arm-smmu-context-fault] [irq/82-arm-smmu-context-fault]
root           243     2 [irq/195-8804000.sdhci]     [irq/195-8804000.sdhci]
root           244     2 [kworker/R-sdhci_msm_generic_swq] [kworker/R-sdhci_msm_generic_swq]
root           245     2 [kworker/R-sdhci]           [kworker/R-sdhci]
root           246     2 [irq/194-mmc1]              [irq/194-mmc1]
root           247     2 [kworker/R-qc_ufs_qos_swq]  [kworker/R-qc_ufs_qos_swq]
root           248     2 [kworker/R-ufs_eh_wq_0]     [kworker/R-ufs_eh_wq_0]
root           249     2 [kworker/R-ufs_clkscaling_0] [kworker/R-ufs_clkscaling_0]
root           251     2 [irq/84-arm-smmu-context-fault] [irq/84-arm-smmu-context-fault]
root           252     2 [irq/85-arm-smmu-context-fault] [irq/85-arm-smmu-context-fault]
root           253     2 [irq/86-arm-smmu-context-fault] [irq/86-arm-smmu-context-fault]
root           254     2 [irq/87-arm-smmu-context-fault] [irq/87-arm-smmu-context-fault]
root           255     2 [irq/88-arm-smmu-context-fault] [irq/88-arm-smmu-context-fault]
root           261     2 [irq/89-arm-smmu-context-fault] [irq/89-arm-smmu-context-fault]
root           262     2 [irq/90-arm-smmu-context-fault] [irq/90-arm-smmu-context-fault]
root           263     2 [irq/91-arm-smmu-context-fault] [irq/91-arm-smmu-context-fault]
root           264     2 [irq/223-8804000.sdhci cd]  [irq/223-8804000.sdhci cd]
root           268     2 [f2fs_ckpt-8:10]            [f2fs_ckpt-8:10]
root           269     2 [f2fs_flush-8:10]           [f2fs_flush-8:10]
root           270     2 [f2fs_discard-8:10]         [f2fs_discard-8:10]
root           271     2 [f2fs_gc-8:10]              [f2fs_gc-8:10]
root           276     2 [kworker/R-kdmflush/254:3]  [kworker/R-kdmflush/254:3]
root           287     2 [kworker/R-kdmflush/254:7]  [kworker/R-kdmflush/254:7]
root           298     2 [kworker/R-kdmflush/254:11] [kworker/R-kdmflush/254:11]
root           309     2 [kworker/R-kdmflush/254:15] [kworker/R-kdmflush/254:15]
root           320     2 [kworker/R-kdmflush/254:19] [kworker/R-kdmflush/254:19]
root           331     2 [kworker/R-kdmflush/254:23] [kworker/R-kdmflush/254:23]
root           342     2 [kworker/R-kdmflush/254:27] [kworker/R-kdmflush/254:27]
root           350     2 [kworker/R-kdmflush/254:28] [kworker/R-kdmflush/254:28]
root           351     2 [kworker/R-kverityd]        [kworker/R-kverityd]
root           352     2 [kworker/R-kdmflush/254:29] [kworker/R-kdmflush/254:29]
root           353     2 [kworker/R-kverityd]        [kworker/R-kverityd]
root           354     2 [kworker/R-kdmflush/254:30] [kworker/R-kdmflush/254:30]
root           355     2 [kworker/R-kverityd]        [kworker/R-kverityd]
root           356     2 [kworker/R-kdmflush/254:31] [kworker/R-kdmflush/254:31]
root           357     2 [kworker/R-kverityd]        [kworker/R-kverityd]
root           358     2 [kworker/R-kdmflush/254:32] [kworker/R-kdmflush/254:32]
root           359     2 [kworker/R-kverityd]        [kworker/R-kverityd]
root           360     2 [kworker/R-kdmflush/254:33] [kworker/R-kdmflush/254:33]
root           361     2 [kworker/R-kverityd]        [kworker/R-kverityd]
root           362     2 [kworker/R-kdmflush/254:34] [kworker/R-kdmflush/254:34]
root           363     2 [kworker/R-kverityd]        [kworker/R-kverityd]
root           449     1 init                        init subcontext u:r:vendor_init:s0 17
root           451     1 ueventd                     ueventd
root           462     2 [kworker/6:3H-kblockd]      [kworker/6:3H-kblockd]
wifi           501     1 wpa_supplicant              wpa_supplicant -O/data/vendor/wifi/wpa/sockets -puse_p2p_group_interface=1 -dd -g@android:wpa_wlan0
root           504     2 [kworker/R-kdmflush/254:35] [kworker/R-kdmflush/254:35]
root           506     2 [kworker/R-kdmflush/254:37] [kworker/R-kdmflush/254:37]
root           508     2 [kworker/R-kdmflush/254:39] [kworker/R-kdmflush/254:39]
root           510     2 [kworker/R-kdmflush/254:41] [kworker/R-kdmflush/254:41]
root           511     2 [kworker/R-kdmflush/254:42] [kworker/R-kdmflush/254:42]
root           512     2 [kworker/R-kdmflush/254:43] [kworker/R-kdmflush/254:43]
root           513     2 [kworker/R-kdmflush/254:44] [kworker/R-kdmflush/254:44]
root           514     2 [kworker/R-kdmflush/254:45] [kworker/R-kdmflush/254:45]
