capture,category,detail,mapping_count,Size,Rss,Pss,Shared_Clean,Shared_Dirty,Private_Clean,Private_Dirty,Anonymous,Swap
idle,gguf_weights,LFM2.5-Audio-1.5B-Q4_0.gguf,1,677120,677120,677120,0,0,677120,0,0,0
idle,anonymous,[anon:scudo:secondary],71,1167060,358500,358500,0,0,0,358500,358500,0
idle,gguf_weights,tokenizer-LFM2.5-Audio-1.5B-Q4_0.gguf,1,47044,47044,47044,0,0,47044,0,0,0
idle,anonymous,[anon:scudo:primary],33,29696,23232,23232,0,0,0,23232,23232,0
idle,shared_libraries,libliquid-audio.so,3,2428,1916,1916,0,0,1868,48,48,0
idle,shared_libraries,libllama.so,3,2080,1696,1696,0,0,1648,48,48,0
idle,shared_libraries,liblfmserver.so,3,1248,1120,1120,0,0,1092,28,28,0
idle,other_file_backed,/apex/com.android.runtime/bin/linker64,4,1492,976,60,932,0,0,44,44,0
idle,shared_libraries,libc++.so,4,1028,832,40,796,0,0,36,36,0
idle,shared_libraries,libggml-base.so,3,932,804,804,0,0,768,36,36,0
idle,shared_libraries,libc.so,4,960,776,21,756,0,0,20,20,0
idle,anonymous,[anon:.bss],16,944,712,712,0,0,0,712,712,0
idle,shared_libraries,libggml-cpu-android_armv8.6_1.so,3,700,612,612,0,0,596,16,16,0
idle,shared_libraries,libggml.so,3,660,596,596,0,0,568,28,28,0
idle,shared_libraries,libmtmd.so,3,684,492,492,0,0,476,16,16,0
idle,device_mappings,/dev/__properties__/property_info,2,280,280,0,0,280,0,0,0,0
idle,shared_libraries,libm.so,4,228,180,11,172,0,0,8,8,0
idle,anonymous,[anon:bionic_alloc_small_objects],14,116,116,116,0,0,0,116,116,0
idle,anonymous,[stack],1,136,92,92,0,0,0,92,92,0
idle,anonymous,[anon:System property context nodes],2,48,48,48,0,0,0,48,48,0
idle,shared_libraries,libnetd_client.so,4,40,40,8,32,0,0,8,8,0
idle,anonymous,[anon:linker_alloc],4,1920,28,28,0,0,0,28,28,0
idle,anonymous,[anon:stack_and_tls:2797],1,1008,20,20,0,0,0,20,20,0
idle,anonymous,[anon:cfi shadow],9,2097152,16,16,0,0,0,16,16,0
idle,device_mappings,/dev/__properties__/u:object_r:build_prop:s0,1,128,16,0,0,16,0,0,0,0
idle,device_mappings,/dev/__properties__/u:object_r:debug_prop:s0,2,256,16,0,0,16,0,0,0,0
idle,anonymous,[anon:stack_and_tls:2800],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:2799],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:2798],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:2796],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:2795],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:2794],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:2793],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:2792],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:2791],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:2790],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:2789],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:2788],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:2787],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:2785],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:2740],1,1008,12,12,0,0,0,12,12,0
idle,shared_libraries,libdl.so,3,12,12,4,8,0,0,4,4,0
