capture,category,detail,mapping_count,Size,Rss,Pss,Shared_Clean,Shared_Dirty,Private_Clean,Private_Dirty,Anonymous,Swap
idle,gguf_weights,LFM2.5-Audio-1.5B-Q4_0.gguf,1,677120,677120,677120,0,0,677120,0,0,0
idle,anonymous,[anon:scudo:secondary],72,1368916,380980,380980,0,0,0,380980,380980,0
idle,gguf_weights,tokenizer-LFM2.5-Audio-1.5B-Q4_0.gguf,1,47044,47044,47044,0,0,47044,0,0,0
idle,anonymous,[anon:scudo:primary],33,29696,23256,23256,0,0,0,23256,23256,0
idle,shared_libraries,libliquid-audio.so,3,2428,1852,1852,0,0,1804,48,48,0
idle,shared_libraries,libllama.so,3,2080,1632,1632,0,0,1584,48,48,0
idle,shared_libraries,liblfmserver.so,3,1248,1120,1120,0,0,1092,28,28,0
idle,other_file_backed,/apex/com.android.runtime/bin/linker64,4,1492,976,61,932,0,0,44,44,0
idle,shared_libraries,libggml-base.so,3,932,868,868,0,0,832,36,36,0
idle,shared_libraries,libc++.so,4,1028,812,38,776,0,0,36,36,0
idle,shared_libraries,libc.so,4,960,796,21,776,0,0,20,20,0
idle,anonymous,[anon:.bss],16,944,712,712,0,0,0,712,712,0
idle,shared_libraries,libggml.so,3,660,660,660,0,0,632,28,28,0
idle,shared_libraries,libggml-cpu-android_armv8.6_1.so,3,700,584,584,0,0,568,16,16,0
idle,shared_libraries,libmtmd.so,3,684,428,428,0,0,412,16,16,0
idle,device_mappings,/dev/__properties__/property_info,2,280,280,0,0,280,0,0,0,0
idle,shared_libraries,libm.so,4,228,176,11,168,0,0,8,8,0
idle,anonymous,[anon:bionic_alloc_small_objects],15,116,116,116,0,0,0,116,116,0
idle,anonymous,[stack],1,136,92,92,0,0,0,92,92,0
idle,anonymous,[anon:System property context nodes],2,48,48,48,0,0,0,48,48,0
idle,shared_libraries,libnetd_client.so,4,40,40,8,32,0,0,8,8,0
idle,anonymous,[anon:linker_alloc],4,1920,28,28,0,0,0,28,28,0
idle,anonymous,[anon:stack_and_tls:4972],1,1008,20,20,0,0,0,20,20,0
idle,anonymous,[anon:cfi shadow],9,2097152,16,16,0,0,0,16,16,0
idle,device_mappings,/dev/__properties__/u:object_r:build_prop:s0,1,128,16,0,0,16,0,0,0,0
idle,device_mappings,/dev/__properties__/u:object_r:debug_prop:s0,2,256,16,0,0,16,0,0,0,0
idle,anonymous,[anon:stack_and_tls:4979],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:4978],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:4977],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:4976],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:4975],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:4974],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:4973],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:4971],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:4970],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:4969],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:4968],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:4967],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:4966],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:4965],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:4926],1,1008,12,12,0,0,0,12,12,0
idle,shared_libraries,libdl.so,3,12,12,4,8,0,0,4,4,0
idle,anonymous,[anon:stack_and_tls:main],1,16,12,12,0,0,0,12,12,0
idle,device_mappings,/dev/__properties__/properties_serial,2,256,8,0,0,8,0,0,0,0
idle,anonymous,[anon:atexit handlers],2,8,8,8,0,0,0,8,8,0
idle,anonymous,[anon:arc4random data],2,8,8,8,0,0,0,8,8,0
idle,device_mappings,/dev/__properties__/u:object_r:heapprofd_prop:s0,1,128,4,0,0,4,0,0,0,0
idle,device_mappings,/dev/__properties__/u:object_r:libc_debug_prop:s0,1,128,4,0,0,4,0,0,0,0
idle,device_mappings,/dev/__properties__/u:object_r:gwp_asan_prop:s0,1,128,4,0,0,4,0,0,0,0
idle,device_mappings,/dev/__properties__/u:object_r:vendor_socket_hook_prop:s0,1,128,4,0,0,4,0,0,0,0
idle,device_mappings,/dev/__properties__/u:object_r:vndk_prop:s0,1,128,4,0,0,4,0,0,0,0
idle,special_mappings,[vdso],1,8,4,0,4,0,0,0,0,0
idle,anonymous,<anonymous>,192,390768,0,0,0,0,0,0,0,0
idle,anonymous,[anon:thread signal stack],17,544,0,0,0,0,0,0,0,0
idle,anonymous,[anon:scudo:primary_reserve],34,8621056,0,0,0,0,0,0,0,0
idle,special_mappings,[page size compat],6,48,0,0,0,0,0,0,0,0
idle,special_mappings,[vvar],1,8,0,0,0,0,0,0,0,0
active_peak,gguf_weights,LFM2.5-Audio-1.5B-Q4_0.gguf,1,677120,677120,677120,0,0,677120,0,0,0
active_peak,anonymous,[anon:scudo:secondary],92,1405848,544776,544776,0,0,0,544776,544776,0
active_peak,gguf_weights,tokenizer-LFM2.5-Audio-1.5B-Q4_0.gguf,1,47044,47044,47044,0,0,47044,0,0,0
active_peak,anonymous,[anon:scudo:primary],33,29952,23584,23584,0,0,0,23584,23584,0
active_peak,shared_libraries,libliquid-audio.so,3,2428,1852,1852,0,0,1804,48,48,0
active_peak,shared_libraries,libllama.so,3,2080,1632,1632,0,0,1584,48,48,0
active_peak,shared_libraries,liblfmserver.so,3,1248,1120,1120,0,0,1092,28,28,0
active_peak,other_file_backed,/apex/com.android.runtime/bin/linker64,4,1492,976,59,932,0,0,44,44,0
active_peak,shared_libraries,libggml-base.so,3,932,868,868,0,0,832,36,36,0
active_peak,shared_libraries,libc++.so,4,1028,812,38,776,0,0,36,36,0
active_peak,shared_libraries,libc.so,4,960,796,21,776,0,0,20,20,0
active_peak,anonymous,[anon:.bss],16,944,712,712,0,0,0,712,712,0
active_peak,shared_libraries,libggml-cpu-android_armv8.6_1.so,3,700,700,700,0,0,684,16,16,0
active_peak,shared_libraries,libggml.so,3,660,660,660,0,0,632,28,28,0
active_peak,shared_libraries,libmtmd.so,3,684,556,556,0,0,540,16,16,0
active_peak,device_mappings,/dev/__properties__/property_info,2,280,280,0,0,280,0,0,0,0
active_peak,shared_libraries,libm.so,4,228,216,12,208,0,0,8,8,0
active_peak,anonymous,[anon:bionic_alloc_small_objects],15,116,116,116,0,0,0,116,116,0
active_peak,anonymous,[stack],1,136,92,92,0,0,0,92,92,0
active_peak,anonymous,[anon:stack_and_tls:5002],1,1008,52,52,0,0,0,52,52,0
active_peak,anonymous,[anon:System property context nodes],2,48,48,48,0,0,0,48,48,0
active_peak,shared_libraries,libnetd_client.so,4,40,40,8,32,0,0,8,8,0
active_peak,anonymous,[anon:stack_and_tls:4976],1,1008,36,36,0,0,0,36,36,0
active_peak,anonymous,[anon:linker_alloc],4,1920,28,28,0,0,0,28,28,0
active_peak,anonymous,[anon:stack_and_tls:4972],1,1008,20,20,0,0,0,20,20,0
active_peak,anonymous,[anon:cfi shadow],9,2097152,16,16,0,0,0,16,16,0
active_peak,device_mappings,/dev/__properties__/u:object_r:build_prop:s0,1,128,16,0,0,16,0,0,0,0
active_peak,device_mappings,/dev/__properties__/u:object_r:debug_prop:s0,2,256,16,0,0,16,0,0,0,0
active_peak,anonymous,[anon:stack_and_tls:4979],1,1008,12,12,0,0,0,12,12,0
active_peak,anonymous,[anon:stack_and_tls:4978],1,1008,12,12,0,0,0,12,12,0
active_peak,anonymous,[anon:stack_and_tls:4977],1,1008,12,12,0,0,0,12,12,0
active_peak,anonymous,[anon:stack_and_tls:4975],1,1008,12,12,0,0,0,12,12,0
active_peak,anonymous,[anon:stack_and_tls:4974],1,1008,12,12,0,0,0,12,12,0
active_peak,anonymous,[anon:stack_and_tls:4973],1,1008,12,12,0,0,0,12,12,0
active_peak,anonymous,[anon:stack_and_tls:4971],1,1008,12,12,0,0,0,12,12,0
active_peak,anonymous,[anon:stack_and_tls:4970],1,1008,12,12,0,0,0,12,12,0
active_peak,anonymous,[anon:stack_and_tls:4969],1,1008,12,12,0,0,0,12,12,0
active_peak,anonymous,[anon:stack_and_tls:4968],1,1008,12,12,0,0,0,12,12,0
active_peak,anonymous,[anon:stack_and_tls:4967],1,1008,12,12,0,0,0,12,12,0
active_peak,anonymous,[anon:stack_and_tls:4966],1,1008,12,12,0,0,0,12,12,0
active_peak,anonymous,[anon:stack_and_tls:4965],1,1008,12,12,0,0,0,12,12,0
active_peak,anonymous,[anon:stack_and_tls:4926],1,1008,12,12,0,0,0,12,12,0
active_peak,shared_libraries,libdl.so,3,12,12,4,8,0,0,4,4,0
active_peak,anonymous,[anon:stack_and_tls:main],1,16,12,12,0,0,0,12,12,0
active_peak,device_mappings,/dev/__properties__/properties_serial,2,256,8,0,0,8,0,0,0,0
active_peak,anonymous,[anon:atexit handlers],2,8,8,8,0,0,0,8,8,0
active_peak,anonymous,[anon:arc4random data],2,8,8,8,0,0,0,8,8,0
active_peak,device_mappings,/dev/__properties__/u:object_r:heapprofd_prop:s0,1,128,4,0,0,4,0,0,0,0
active_peak,device_mappings,/dev/__properties__/u:object_r:libc_debug_prop:s0,1,128,4,0,0,4,0,0,0,0
active_peak,device_mappings,/dev/__properties__/u:object_r:gwp_asan_prop:s0,1,128,4,0,0,4,0,0,0,0
active_peak,device_mappings,/dev/__properties__/u:object_r:vendor_socket_hook_prop:s0,1,128,4,0,0,4,0,0,0,0
active_peak,device_mappings,/dev/__properties__/u:object_r:vndk_prop:s0,1,128,4,0,0,4,0,0,0,0
active_peak,special_mappings,[vdso],1,8,4,0,4,0,0,0,0,0
active_peak,anonymous,<anonymous>,221,407360,0,0,0,0,0,0,0,0
active_peak,anonymous,[anon:thread signal stack],18,576,0,0,0,0,0,0,0,0
active_peak,anonymous,[anon:scudo:primary_reserve],34,8620800,0,0,0,0,0,0,0,0
active_peak,special_mappings,[page size compat],6,48,0,0,0,0,0,0,0,0
active_peak,special_mappings,[vvar],1,8,0,0,0,0,0,0,0,0
after,gguf_weights,LFM2.5-Audio-1.5B-Q4_0.gguf,1,677120,677120,677120,0,0,677120,0,0,0
after,anonymous,[anon:scudo:secondary],91,1403312,527368,527368,0,0,0,527368,527368,0
after,gguf_weights,tokenizer-LFM2.5-Audio-1.5B-Q4_0.gguf,1,47044,47044,47044,0,0,47044,0,0,0
after,anonymous,[anon:scudo:primary],33,29952,23560,23560,0,0,0,23560,23560,0
after,shared_libraries,libliquid-audio.so,3,2428,1852,1852,0,0,1804,48,48,0
after,shared_libraries,libllama.so,3,2080,1632,1632,0,0,1584,48,48,0
after,shared_libraries,liblfmserver.so,3,1248,1120,1120,0,0,1092,28,28,0
after,other_file_backed,/apex/com.android.runtime/bin/linker64,4,1492,976,64,932,0,0,44,44,0
after,shared_libraries,libggml-base.so,3,932,868,868,0,0,832,36,36,0
after,shared_libraries,libc++.so,4,1028,812,38,776,0,0,36,36,0
after,shared_libraries,libc.so,4,960,796,21,776,0,0,20,20,0
after,anonymous,[anon:.bss],16,944,712,712,0,0,0,712,712,0
after,shared_libraries,libggml-cpu-android_armv8.6_1.so,3,700,700,700,0,0,684,16,16,0
after,shared_libraries,libggml.so,3,660,660,660,0,0,632,28,28,0
after,shared_libraries,libmtmd.so,3,684,556,556,0,0,540,16,16,0
after,device_mappings,/dev/__properties__/property_info,2,280,280,0,0,280,0,0,0,0
after,shared_libraries,libm.so,4,228,216,12,208,0,0,8,8,0
after,anonymous,[anon:bionic_alloc_small_objects],15,116,116,116,0,0,0,116,116,0
after,anonymous,[stack],1,136,92,92,0,0,0,92,92,0
after,anonymous,[anon:System property context nodes],2,48,48,48,0,0,0,48,48,0
after,shared_libraries,libnetd_client.so,4,40,40,8,32,0,0,8,8,0
after,anonymous,[anon:stack_and_tls:4976],1,1008,36,36,0,0,0,36,36,0
after,anonymous,[anon:linker_alloc],4,1920,28,28,0,0,0,28,28,0
after,anonymous,[anon:stack_and_tls:4972],1,1008,20,20,0,0,0,20,20,0
after,anonymous,[anon:cfi shadow],9,2097152,16,16,0,0,0,16,16,0
after,device_mappings,/dev/__properties__/u:object_r:build_prop:s0,1,128,16,0,0,16,0,0,0,0
after,device_mappings,/dev/__properties__/u:object_r:debug_prop:s0,2,256,16,0,0,16,0,0,0,0
after,anonymous,[anon:stack_and_tls:4979],1,1008,12,12,0,0,0,12,12,0
after,anonymous,[anon:stack_and_tls:4978],1,1008,12,12,0,0,0,12,12,0
after,anonymous,[anon:stack_and_tls:4977],1,1008,12,12,0,0,0,12,12,0
after,anonymous,[anon:stack_and_tls:4975],1,1008,12,12,0,0,0,12,12,0
after,anonymous,[anon:stack_and_tls:4974],1,1008,12,12,0,0,0,12,12,0
after,anonymous,[anon:stack_and_tls:4973],1,1008,12,12,0,0,0,12,12,0
after,anonymous,[anon:stack_and_tls:4971],1,1008,12,12,0,0,0,12,12,0
after,anonymous,[anon:stack_and_tls:4970],1,1008,12,12,0,0,0,12,12,0
after,anonymous,[anon:stack_and_tls:4969],1,1008,12,12,0,0,0,12,12,0
after,anonymous,[anon:stack_and_tls:4968],1,1008,12,12,0,0,0,12,12,0
after,anonymous,[anon:stack_and_tls:4967],1,1008,12,12,0,0,0,12,12,0
after,anonymous,[anon:stack_and_tls:4966],1,1008,12,12,0,0,0,12,12,0
after,anonymous,[anon:stack_and_tls:4965],1,1008,12,12,0,0,0,12,12,0
after,anonymous,[anon:stack_and_tls:4926],1,1008,12,12,0,0,0,12,12,0
after,shared_libraries,libdl.so,3,12,12,4,8,0,0,4,4,0
after,anonymous,[anon:stack_and_tls:main],1,16,12,12,0,0,0,12,12,0
after,device_mappings,/dev/__properties__/properties_serial,2,256,8,0,0,8,0,0,0,0
after,anonymous,[anon:atexit handlers],2,8,8,8,0,0,0,8,8,0
after,anonymous,[anon:arc4random data],2,8,8,8,0,0,0,8,8,0
after,device_mappings,/dev/__properties__/u:object_r:heapprofd_prop:s0,1,128,4,0,0,4,0,0,0,0
after,device_mappings,/dev/__properties__/u:object_r:libc_debug_prop:s0,1,128,4,0,0,4,0,0,0,0
after,device_mappings,/dev/__properties__/u:object_r:gwp_asan_prop:s0,1,128,4,0,0,4,0,0,0,0
after,device_mappings,/dev/__properties__/u:object_r:vendor_socket_hook_prop:s0,1,128,4,0,0,4,0,0,0,0
after,device_mappings,/dev/__properties__/u:object_r:vndk_prop:s0,1,128,4,0,0,4,0,0,0,0
after,special_mappings,[vdso],1,8,4,0,4,0,0,0,0,0
after,anonymous,<anonymous>,216,390920,0,0,0,0,0,0,0,0
after,anonymous,[anon:thread signal stack],17,544,0,0,0,0,0,0,0,0
after,anonymous,[anon:scudo:primary_reserve],34,8620800,0,0,0,0,0,0,0,0
after,special_mappings,[page size compat],6,48,0,0,0,0,0,0,0,0
after,special_mappings,[vvar],1,8,0,0,0,0,0,0,0,0
