capture,category,detail,mapping_count,Size,Rss,Pss,Shared_Clean,Shared_Dirty,Private_Clean,Private_Dirty,Anonymous,Swap
idle,gguf_weights,LFM2.5-Audio-1.5B-Q4_0.gguf,1,677120,677120,677120,0,0,677120,0,0,0
idle,anonymous,[anon:scudo:secondary],71,1106576,348316,348316,0,0,0,348316,348316,0
idle,gguf_weights,tokenizer-LFM2.5-Audio-1.5B-Q4_0.gguf,1,47044,47044,47044,0,0,47044,0,0,0
idle,anonymous,[anon:scudo:primary],33,29696,23212,23212,0,0,0,23212,23212,0
idle,shared_libraries,libliquid-audio.so,3,2428,1980,1980,0,0,1932,48,48,0
idle,shared_libraries,libllama.so,3,2080,1760,1760,0,0,1712,48,48,0
idle,shared_libraries,liblfmserver.so,3,1248,1120,1120,0,0,1092,28,28,0
idle,other_file_backed,/apex/com.android.runtime/bin/linker64,4,1492,904,61,860,0,0,44,44,0
idle,shared_libraries,libggml-base.so,3,932,868,868,0,0,832,36,36,0
idle,shared_libraries,libc++.so,4,1028,808,38,772,0,0,36,36,0
idle,shared_libraries,libc.so,4,960,792,21,772,0,0,20,20,0
idle,anonymous,[anon:.bss],16,944,712,712,0,0,0,712,712,0
idle,shared_libraries,libggml.so,3,660,596,596,0,0,568,28,28,0
idle,shared_libraries,libggml-cpu-android_armv8.6_1.so,3,700,540,540,0,0,524,16,16,0
idle,shared_libraries,libmtmd.so,3,684,428,428,0,0,412,16,16,0
idle,device_mappings,/dev/__properties__/property_info,2,280,268,0,0,268,0,0,0,0
idle,shared_libraries,libm.so,4,228,180,11,172,0,0,8,8,0
idle,anonymous,[anon:bionic_alloc_small_objects],15,116,116,116,0,0,0,116,116,0
idle,anonymous,[stack],1,136,92,92,0,0,0,92,92,0
idle,anonymous,[anon:System property context nodes],2,48,48,48,0,0,0,48,48,0
idle,shared_libraries,libnetd_client.so,4,40,40,8,32,0,0,8,8,0
idle,anonymous,[anon:linker_alloc],4,1920,28,28,0,0,0,28,28,0
idle,anonymous,[anon:stack_and_tls:11004],1,1008,20,20,0,0,0,20,20,0
idle,anonymous,[anon:cfi shadow],9,2097152,16,16,0,0,0,16,16,0
idle,device_mappings,/dev/__properties__/u:object_r:build_prop:s0,1,128,16,0,0,16,0,0,0,0
idle,device_mappings,/dev/__properties__/u:object_r:debug_prop:s0,2,256,16,0,0,16,0,0,0,0
idle,anonymous,[anon:stack_and_tls:11012],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:11011],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:11010],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:11009],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:11007],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:11005],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:11003],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:11002],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:11001],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:10997],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:10995],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:10994],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:10993],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:10992],1,1008,12,12,0,0,0,12,12,0
idle,anonymous,[anon:stack_and_tls:10931],1,1008,12,12,0,0,0,12,12,0
